1,2,Trans,Match,Major
gerVI,V+,gerVI-V+,Yes,Minor
V+,V+7,V+-V+7,Yes,Minor
I,I6,I-I6,Yes,Minor
I6,II65,I6-II65,Yes,Minor
II65,V64,II65-V64,Yes,Minor
V64,V+,V64-V+,Yes,Minor
V+,VI6,V+-VI6,Yes,Minor
VI6,II7,VI6-II7,Yes,Minor
II7,III,II7-III,Yes,Minor
V+6,I,V+6-I,Yes,Minor
I,VI,I-VI,Yes,Minor
VI,bII,VI-bII,Yes,Minor
bII,V64,bII-V64,Yes,Minor
V64,V+7,V64-V+7,Yes,Minor
V+7,I,V+7-I,Yes,Minor
V,V6,V-V6,No,Minor
IV,IV6,IV-IV6,No,Minor
IV64,IV+,IV64-IV+,No,Minor
I64,I+,I64-I+,No,Minor
I+,bII6,I+-bII6,No,Minor
I+6,IV,I+6-IV,No,Minor
V,III,V-III,No,Minor
IV,bII,IV-bII,No,Minor
III,VI,III-VI,No,Minor
I,V+65,I-V+65,Yes,Minor
V+65,I,V+65-I,Yes,Minor
I6,V+6,I6-V+6,Yes,Minor
V+6,I6,V+6-I6,Yes,Minor
I6,I6,I6-I6,Yes,Minor
I6,V+6,I6-V+6,Yes,Minor
V+6,I,V+6-I,Yes,Minor
IV6,I+6,IV6-I+6,No,Minor
I+6,IV6,I+6-IV6,No,Minor
V6,V6,V6-V6,No,Minor
IV6,IV6,IV6-IV6,No,Minor
IV6,I+6,IV6-I+6,No,Minor
I+6,IV,I+6-IV,No,Minor
V64,V+7,V64-V+7,Yes,Minor
V64,gerVI,V64-gerVI,Yes,Minor
gerVI,V+,gerVI-V+,Yes,Minor
V+,VI,V+-VI,Yes,Minor
VI,II65,VI-II65,Yes,Minor
II65,V+7,II65-V+7,Yes,Minor
V+7,I,V+7-I,Yes,Minor
I+,bII,I+-bII,No,Minor
II7,V+7,II7-V+7,Yes,Minor
V+7,I,V+7-I,Yes,Minor
I,bII,I-bII,Yes,Minor
bII,bII,bII-bII,Yes,Minor
V64,V+,V64-V+,Yes,Minor
V,VI,V-VI,No,Minor
VI,VI,VI-VI,No,Minor
IV64,IV+,IV64-IV+,No,Minor
I64,I+,I64-I+,No,Minor
IV,bII,IV-bII,Yes,Minor
bII,bII6,bII-bII6,Yes,Minor
V+7,I,V+7-I,Yes,Minor
I,VI,I-VI,No,Minor
VI,VI6,VI-VI6,No,Minor
V+,I,V+-I,Yes,Minor
I,V+,I-V+,Yes,Minor
V+,I,V+-I,Yes,Minor
I,V+,I-V+,Yes,Minor
I+,IV,I+-IV,No,Minor
IV,I+,IV-I+,No,Minor
I+,IV,I+-IV,No,Minor
IV,I+,IV-I+,No,Minor
V64,V+7,V64-V+7,Yes,Minor
V+7,I,V+7-I,Yes,Minor
I6,I6,I6-I6,Yes,Minor
II65,V+7,II65-V+7,Yes,Minor
V+7,VI,V+7-VI,Yes,Minor
VI,II65,VI-II65,Yes,Minor
II65,V+,II65-V+,Yes,Minor
V+,I6,V+-I6,Yes,Minor
I6,V+,I6-V+,Yes,Minor
V+,I,V+-I,Yes,Minor
V6,V6,V6-V6,No,Minor
IV6,IV6,IV6-IV6,No,Minor
I+,IV6,I+-IV6,No,Minor
IV6,I+,IV6-I+,No,Minor
I+,IV,I+-IV,No,Minor
V+6,IV6,V+6-IV6,Yes,Minor
IV6,V64,IV6-V64,Yes,Minor
V64,II7,V64-II7,Yes,Minor
II7,V+,II7-V+,Yes,Minor
I6,V+65,I6-V+65,Yes,Minor
V+65,I,V+65-I,Yes,Minor
I,V+43,I-V+43,Yes,Minor
V+43,I,V+43-I,Yes,Minor
VI,IV6,VI-IV6,Yes,Minor
IV6,V+7,IV6-V+7,Yes,Minor
V+7,I,V+7-I,Yes,Minor
I,IV,I-IV,Yes,Minor
IV,V+7,IV-V+7,Yes,Minor
V+7,I,V+7-I,Yes,Minor
III,I6,III-I6,No,Minor
V,I,V-I,No,Minor
I,V+6,I-V+6,Yes,Minor
V+6,V+7,V+6-V+7,Yes,Minor
V+7,I6,V+7-I6,Yes,Minor
I6,V+6,I6-V+6,Yes,Minor
V+6,V+65,V+6-V+65,Yes,Minor
V+65,I,V+65-I,Yes,Minor
IV,I+6,IV-I+6,No,Minor
IV6,I+6,IV6-I+6,No,Minor
IV,II65,IV-II65,Yes,Minor
I,V+64,I-V+64,Yes,Minor
V+64,I6,V+64-I6,Yes,Minor
I6,V+42,I6-V+42,Yes,Minor
V+42,I6,V+42-I6,Yes,Minor
I6,II6,I6-II6,Yes,Minor
II6,V+,II6-V+,Yes,Minor
V+,V64,V+-V64,Yes,Minor
V64,V+7,V64-V+7,Yes,Minor
V+7,I,V+7-I,Yes,Minor
IV,I+64,IV-I+64,No,Minor
I+64,IV6,I+64-IV6,No,Minor
IV+,IV64,IV+-IV64,No,Minor
I+,I64,I+-I64,No,Minor
