1,2,Trans,Match,Major
IV,IV6,IV-IV6,No,Major
bVI6,bII,bVI6-bII,No,Major
V6,I,V6-I,No,Major
I,VI6,I-VI6,No,Major
II,V7,II-V7,Yes,Major
V7,I,V7-I,Yes,Major
I,VI6,I-VI6,Yes,Major
V,III6,V-III6,No,Major
IV,II6,IV-II6,No,Major
I,V43,I-V43,Yes,Major
V43,I,V43-I,Yes,Major
I,V65,I-V65,Yes,Major
V65,I,V65-I,Yes,Major
II,II65,II-II65,Yes,Major
II65,V,II65-V,Yes,Major
V,I,V-I,Yes,Major
I,V43,I-V43,Yes,Major
V43,I6,V43-I6,Yes,Major
bVI,bII,bVI-bII,No,Major
I,IV,I-IV,No,Major
V64,V7,V64-V7,Yes,Major
V7,I,V7-I,Yes,Major
I,II6,I-II6,Yes,Major
II6,V64,II6-V64,Yes,Major
V64,V42,V64-V42,Yes,Major
V42,I6,V42-I6,Yes,Major
I6,II6,I6-II6,Yes,Major
II6,I6,II6-I6,Yes,Major
I6,V42,I6-V42,Yes,Major
V42,I6,V42-I6,Yes,Major
IV,II7,IV-II7,Yes,Major
II7,V43,II7-V43,Yes,Major
V43,I6,V43-I6,Yes,Major
I6,IV,I6-IV,Yes,Major
IV,IV,IV-IV,Yes,Major
IV,I6,IV-I6,Yes,Major
I6,IV6,I6-IV6,Yes,Major
IV6,V64,IV6-V64,Yes,Major
V64,I,V64-I,Yes,Major
V,VI6,V-VI6,No,Major
V6,VI6,V6-VI6,No,Major
VI6,V6,VI6-V6,No,Major
bVI6,bII,bVI6-bII,No,Major
V6,I,V6-I,No,Major
bII,bII,bII-bII,No,Major
bVI,bVI,bVI-bVI,No,Major
I,I,I-I,No,Major
bII,bVI6,bII-bVI6,No,Major
I,V6,I-V6,No,Major
bVI6,bII6,bVI6-bII6,No,Major
V6,I6,V6-I6,No,Major
I64,IV,I64-IV,No,Major
I,I,I-I,Yes,Major
I,V64,I-V64,Yes,Major
V64,V,V64-V,Yes,Major
V,I,V-I,Yes,Major
I,dimVII7,I-dimVII7,Yes,Major
dimVII7,I,dimVII7-I,Yes,Major
I,I6,I-I6,Yes,Major
I6,II65,I6-II65,Yes,Major
II65,V64,II65-V64,Yes,Major
V64,V7,V64-V7,Yes,Major
V7,I,V7-I,Yes,Major
bII,bII,bII-bII,No,Major
bVI,bVI,bVI-bVI,No,Major
V,V,V-V,No,Major
IV,IV,IV-IV,No,Major
IV,I64,IV-I64,No,Major
IV64,IV,IV64-IV,No,Major
I64,I,I64-I,No,Major
bVI,bII,bVI-bII,No,Major
I,IV,I-IV,No,Major
bII,bII6,bII-bII6,No,Major
bVI,bVI6,bVI-bVI6,No,Major
V,V6,V-V6,No,Major
IV,IV6,IV-IV6,No,Major
IV6,V65,IV6-V65,Yes,Major
V65,I,V65-I,Yes,Major
I,II6,I-II6,Yes,Major
II6,I,II6-I,Yes,Major
V,VI6,V-VI6,No,Major
VI6,V,VI6-V,No,Major
I6,dimVII65,I6-dimVII65,Yes,Major
dimVII65,dimVII43,dimVII65-dimVII43,Yes,Major
dimVII43,I6,dimVII43-I6,Yes,Major
I6,V6,I6-V6,Yes,Major
V6,I,V6-I,Yes,Major
I,I6,I-I6,Yes,Major
I6,V6,I6-V6,Yes,Major
V6,I,V6-I,Yes,Major
bII6,bVI6,bII6-bVI6,No,Major
IV6,I6,IV6-I6,No,Major
bVI6,bII,bVI6-bII,No,Major
I6,IV,I6-IV,No,Major
