(1, 1.0) | [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0] | N/A,CMinor
(2, 1.0) | [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0] | N/A,CMinor
(3, 1.0) | [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0] | N/A,CMinor
(4, 1.0) | [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0] | N/A,CMinor
(5, 1.0) | [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0] | None
(6, 1.0) | [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0] | N/A,CMinor
(7, 1.0) | [1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0] | I,CMinor
(8, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | I,CMinor
(9, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | I,CMinor
(10, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | I,CMinor
(11, 1.0) | [0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1] | V+,CMinor
(12, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V+,CMinor
(13, 1.0) | [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1] | V+,CMinor
(14, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V+,CMinor
(15, 1.0) | [1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0] | I,CMinor
(16, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V+,CMinor
(17, 1.0) | [1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0] | I,CMinor
(18, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V+,CMinor
(19, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | I,CMinor
(20, 1.0) | [1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0] | VIGer,CMinor
(21, 1.0) | [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1] | V+,CMinor
(22, 1.0) | [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0] | N/A,CMinor
(23, 1.0) | [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0] | N/A,CMinor
(24, 1.0) | [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0] | None
(25, 1.0) | [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0] | N/A,CMinor
(26, 1.0) | [0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0] | II,CMinor
(27, 1.0) | [0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1] | VIIdim7,CMinor
(28, 1.0) | [0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V+7,CMinor
(29, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0] | I,CMinor
(30, 1.0) | [0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0] | II,CMinor
(31, 1.0) | [0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1] | VIIdim7,CMinor
(32, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V+7,CMinor
(33, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | I,CMinor
(34, 1.0) | [1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0] | II7,CMinor
(35, 1.0) | [1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1] | VII7,CMinor
(36, 1.0) | [1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0] | I,CMinor
(37, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | I,CMinor
(38, 1.0) | [1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1] | II7,CMinor
(39, 1.0) | [1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0] | V7,CMinor
(40, 1.0) | [1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0] | IV,CMinor
(41, 1.0) | [1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0] | V7,CMinor
(42, 1.0) | [1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0] | IV,CMinor
(43, 1.0) | [1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1] | VII7,CMinor
(44, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | I,CMinor
(45, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | I,CMinor
(46, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | I,CMinor
(47, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | I,CMinor
(48, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V+7,CMinor
(49, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V+7,CMinor
(50, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V+7,CMinor
(51, 1.0) | [1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1] | V+7,CMinor
