(1, 1.0) | [1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0] | V7,FMajor
(2, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V7,CMajor
(3, 1.0) | [1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0] | V7,GMajor
(4, 1.0) | [1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1] | I,GMajor
(5, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1] | V7,CMajor
(6, 1.0) | [1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1] | I,CMajor
(7, 1.0) | [0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1] | V7,CMajor
(8, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0] | I,CMajor
(9, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1] | I,CMajor
(10, 1.0) | [1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0] | VI,CMajor
(11, 1.0) | [1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0] | I,CMajor
(12, 1.0) | [1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1] | V7,CMajor
(13, 1.0) | [1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1] | I,CMajor
(14, 1.0) | [1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1] | I,CMajor
(15, 1.0) | [1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1] | I,CMajor
(16, 1.0) | [1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1] | I,CMajor
(17, 1.0) | [1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0] | I,CMajor
(18, 1.0) | [0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0] | V+7,DMinor
(19, 1.0) | [0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0] | I,DMinor
(20, 1.0) | [0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0] | I,DMinor
(21, 1.0) | [0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0] | I,DMinor
(22, 1.0) | [0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0] | I,DMinor
(23, 1.0) | [0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0] | I,DMinor
(24, 1.0) | [1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1] | VIIdim7,CMajor
(25, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V7,CMajor
(26, 1.0) | [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1] | V,CMajor
(27, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V7,CMajor
(28, 1.0) | [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1] | V,CMajor
(29, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V7,CMajor
(30, 1.0) | [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V7,CMajor
(31, 1.0) | [1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0] | I,CMajor
(32, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1] | I,CMajor
(33, 1.0) | [1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0] | I,CMajor
(34, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0] | I,CMajor
(35, 1.0) | [1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1] | V7,CMajor
(36, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1] | V7,CMajor
(37, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1] | I,CMajor
(38, 1.0) | [1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0] | I,CMajor
(39, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1] | V7,CMajor
(40, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1] | V7,CMajor
(41, 1.0) | [1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1] | I,CMajor
(42, 1.0) | [0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0] | II,CMajor
(43, 1.0) | [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0] | N/A,CMajor
(44, 1.0) | [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0] | N/A,CMajor
(45, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1] | V,CMajor
(46, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1] | V7,CMajor
(47, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1] | V,CMajor
(48, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1] | V,CMajor
(49, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1] | V,CMajor
(50, 1.0) | [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1] | V7,CMajor
(51, 1.0) | [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1] | V,CMajor
(52, 1.0) | [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0] | N/A,CMajor
