(53, 1.0) | [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] | IV,FMinor
(54, 1.0) | [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0] | IV,FMinor
(55, 1.0) | [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] | VIIdim7,FMinor
(56, 1.0) | [0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0] | VIIdim,FMinor
(57, 1.0) | [0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0] | I+,FMinor
(58, 1.0) | [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0] | I+,FMinor
(59, 1.0) | [1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0] | I,B-Major
(60, 1.0) | [1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0] | I,B-Major
(61, 1.0) | [1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0] | I,B-Major
(62, 1.0) | [1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0] | I,B-Major
(63, 1.0) | [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0] | I,B-Major
(64, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | II,B-Major
(65, 1.0) | [1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0] | VII,B-Major
(66, 1.0) | [1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0] | II,B-Major
(67, 1.0) | [1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0] | V,B-Major
(68, 1.0) | [1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0] | V7,B-Major
(69, 1.0) | [1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0] | V,B-Major
(70, 1.0) | [1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0] | V7,B-Major
(71, 1.0) | [1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0] | I,FMajor
(72, 1.0) | [1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0] | I,B-Major
(73, 1.0) | [1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0] | VI,B-Major
(74, 1.0) | [1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0] | I,B-Major
(75, 1.0) | [1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0] | VI,B-Major
(76, 1.0) | [1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0] | I,B-Major
(77, 1.0) | [1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0] | I,B-Major
(78, 1.0) | [1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0] | V7,B-Major
(79, 1.0) | [1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0] | I,B-Major
(80, 1.0) | [1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0] | V7,B-Major
(81, 1.0) | [1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0] | I,B-Major
(82, 1.0) | [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0] | N/A,B-Major
(83, 1.0) | [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0] | I,GMinor
(84, 1.0) | [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] | N/A,GMinor
(85, 1.0) | [0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0] | VIb,GMinor
(86, 1.0) | [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0] | N/A,GMinor
(87, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | IV,GMinor
(88, 1.0) | [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0] | IV,GMinor
(89, 1.0) | [1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0] | V+7,GMinor
(90, 1.0) | [1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0] | V+7,GMinor
(91, 1.0) | [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0] | I,GMinor
(92, 1.0) | [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0] | I,GMinor
(93, 1.0) | [0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0] | VIIdim7,DMinor
(94, 1.0) | [0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0] | VIIdim,DMinor
(95, 1.0) | [0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0] | I,DMinor
(96, 1.0) | [0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0] | VIIGer,AMinor
(97, 1.0) | [0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0] | I+,AMinor
(98, 1.0) | [0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0] | I+,AMinor
(99, 1.0) | [0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0] | IV,AMinor
(100, 1.0) | [0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0] | VIIdim7,AMinor
(101, 1.0) | [0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0] | I+,AMinor
(102, 1.0) | [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0] | N/A,AMinor
